7.8701978,46.3134499,801.80
7.8673525,46.3130989,804.16
7.8644052,46.3131447,804.13
7.8615265,46.3137627,811.17
7.8587441,46.3139114,804.80
7.8559470,46.3137741,804.86
7.8532953,46.3134232,804.81
7.8510365,46.3127022,804.58
7.8489938,46.3121758,804.55
7.8472037,46.3122215,804.80
7.8461409,46.3123589,804.09
7.8455720,46.3124275,803.55
7.8454461,46.3124580,803.48
7.8454356,46.3124580,803.45
7.8454347,46.3124580,803.48
7.8454356,46.3124580,803.53
7.8454375,46.3124580,803.58
7.8454332,46.3124619,803.63
7.8450809,46.3125000,803.84
7.8440289,46.3126259,804.27
7.8420577,46.3126106,804.02
7.7887464,46.3201752,803.97
7.7717352,46.3218269,1306.38
7.7691460,46.3219643,1328.50
7.7667642,46.3220215,1349.66
7.7650599,46.3220062,1342.66
7.7642646,46.3220062,1344.69
7.7642398,46.3220253,1339.41
7.7642307,46.3220177,1339.44
7.7655492,46.3228989,1091.88
7.7655306,46.3229637,1078.81
7.7655082,46.3227158,1079.13
7.7645435,46.3226662,1080.16
7.7627606,46.3225861,1082.22
7.7605095,46.3223953,1085.81
7.7582159,46.3228149,1090.81
7.7559175,46.3235397,1096.50
7.7597275,46.3594513,1093.97
7.7587113,46.3614044,1095.78
7.7567806,46.3634758,1185.91
7.7560048,46.3647652,1252.59
7.7593956,46.3706017,834.27
7.7587109,46.3706512,828.25
7.7578206,46.3719292,691.17
7.7569160,46.3730583,707.16
7.6662040,46.4813690,1242.38
7.6658492,46.4835434,1241.38
7.6659837,46.4857979,1238.28
7.6664376,46.4878616,1239.25
7.6678314,46.4897079,1243.34
7.6696658,46.4913445,1247.69
7.6707144,46.4929199,1250.31
7.6713676,46.4940910,1249.84
7.6715455,46.4949913,1244.88
7.6716537,46.4953079,1240.91
7.6716375,46.4953156,1240.47
7.6716356,46.4953117,1240.34
7.6716452,46.4953117,1240.34
7.6716447,46.4953079,1240.34
7.6710901,46.4951553,1240.22
7.6712251,46.4949760,1240.00
7.6723142,46.4971275,1239.59
7.6730413,46.4986725,1239.28
7.6737280,46.5003357,1239.19
7.6748600,46.5020790,1238.00
7.6756840,46.5040016,1234.00
